Name,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
捷克共和国,CZE,20023.13599,17739.9967,17632.09962,17624.68478,18130.89102,19270.69939,20107.85346,20009.83181,19962.96129,20269.69866,21193.90171,21892.48253,22297.22475,23107.20388,24233.59699,25781.20471,27473.62712,28844.06719,29373.10923,27803.58716,28352.9494,28797.41796,28527.13873,28379.74612,29119.61661,30605.42052,31295.25952
德国,DEU,31287.06981,32646.56184,33022.57555,32492.51853,33175.70858,33653.12964,33830.30566,34405.51921,35081.30421,35755.29931,36764.56293,37325.05255,37262.35129,36977.34601,37418.0925,37703.93294,39143.16624,40473.52745,40989.44311,38784.45248,40428.72103,42692.51976,42822.0994,42914.47611,43666.76515,44043.17794,44668.6963
吉布提,DJI,,,,,,,,,,,,,,,,,,,,,,2705.405589,,,,,
多米尼克,DMA,6610.660854,6707.615604,6831.435953,6955.618803,6942.093301,7152.951564,7398.161932,7601.718453,7940.557849,8012.846206,8227.023419,8222.564731,7972.336147,8446.310104,8668.610764,8694.858304,9076.79771,9634.058901,10302.07034,10159.40525,10197.5237,10135.27403,9982.586502,9873.135787,10252.92694,9938.984777,10136.86158
丹麦,DNK,33785.65014,34167.71928,34721.38178,34609.58309,36332.21734,37237.72328,38101.40552,39180.68656,39904.59561,40945.27924,42337.71437,42533.53926,42595.58722,42645.58313,43670.4453,44567.93131,46159.91374,46373.51666,45865.79596,43382.62546,43998.43667,44403.39415,44336.81246,44564.45216,45057.07417,45787.98787,46522.27731
多米尼加共和国,DOM,5477.061465,5421.621565,5914.579688,6230.928137,6276.20558,6515.903229,6787.852738,7269.326961,7633.154969,7959.225317,8200.378427,8272.127247,8511.690706,8270.293527,8356.82634,9011.512148,9697.823176,10271.22129,10455.48321,10412.601,11132.55269,11333.54709,11494.94971,11907.20486,12663.04225,13395.9168,14120.21164
阿尔及利亚,DZA,10236.84066,9869.48837,9815.463823,9400.054424,9126.271624,9295.420114,9509.687657,9461.355117,9796.739936,9968.967712,10211.00186,10382.18684,10826.48765,11459.89356,11797.18485,12322.48426,12348.48121,12570.6547,12660.40324,12647.5403,12870.6027,12990.34502,13161.96167,13253.61548,13483.33786,13724.72385,13921.18002
东亚与太平洋地区（不包括高收入）,EAP,2226.47406,2362.186474,2568.849118,2799.367797,3047.157492,3297.015598,3543.272026,3736.662348,3726.899546,3903.696909,4149.551323,4377.70586,4671.426141,5026.745882,5422.079253,5886.665663,6451.26518,7158.065921,7690.444014,8201.57184,8925.165892,9592.579481,10232.01814,10878.289,11517.64345,12169.40813,12838.24486
早人口紅利,EAR,4442.059309,4551.841271,4644.604111,4700.335922,4759.66154,4827.088484,5005.851478,5125.567291,5127.922449,5159.340778,5294.895089,5287.748891,5316.722224,5516.441885,5784.085555,6045.911675,6320.252724,6600.240148,6731.830102,6756.641544,7081.333828,7307.857393,7513.979333,7741.094903,7982.918612,8265.942497,8594.223972
东亚与太平洋地区,EAS,4964.640112,5163.586674,5371.736562,5588.80137,5864.315468,6174.457988,6487.134081,6709.923202,6635.901627,6845.625123,7178.926801,7386.659351,7698.357846,8069.682726,8527.482289,9023.103041,9613.97537,10350.28841,10813.73709,11132.19737,11964.94786,12610.4282,13242.84176,13897.4291,14518.3666,15143.53982,15788.50714
欧洲与中亚地区（不包括高收入）,ECA,13647.93221,12835.48304,11372.0584,10624.17818,9443.228195,9250.884164,9197.244728,9406.940885,9228.434278,9451.447342,10209.821,10550.99956,11132.33094,11898.72048,12868.23061,13758.58141,14872.82294,16018.56824,16713.09794,15645.35682,16341.27478,17267.38006,17787.99053,18339.59625,18595.38324,18510.30517,18660.66691
欧洲与中亚地区,ECS,20554.5935,20328.20148,19770.99207,19367.07896,19204.30022,19487.56524,19750.47989,20294.53492,20672.15348,21241.21184,22219.31223,22727.25972,23187.14328,23717.74449,24569.76299,25314.06221,26395.07361,27452.3561,27783.31993,26380.31678,27058.42574,27793.58379,27889.69482,28110.17377,28501.53476,28846.05902,29241.18865
厄瓜多尔,ECU,7472.025128,7611.733255,7595.025335,7571.244874,7720.724316,7726.192086,7696.583402,7867.057933,7964.486069,7443.335645,7387.615879,7550.257275,7727.717349,7808.192201,8311.701354,8607.765409,8837.380686,8879.636854,9285.864407,9183.552558,9352.344237,9926.903441,10322.1789,10665.46258,10901.41856,10749.12887,10461.33292
阿拉伯埃及共和国,EGY,5766.608625,5698.48637,5826.129586,5873.806902,5987.948956,6146.090807,6331.558753,6556.362597,6795.865984,7076.119353,7389.121952,7508.465166,7543.560247,7638.011193,7802.909962,8003.590837,8400.260153,8839.781235,9306.621975,9563.065462,9858.923402,9823.823287,9823.437925,9815.229025,9880.823049,10096.65622,10325.17087
欧洲货币联盟,EMU,28105.9529,28755.69717,29024.76111,28710.39466,29332.37515,29985.82813,30430.943,31191.08644,32050.45946,32910.43731,34068.59624,34683.8184,34882.84684,34967.90396,35592.03431,36029.01306,37040.43568,37994.67947,37980.21424,36121.32607,36800.18239,37459.02885,37036.97062,36809.6403,37198.58146,37863.71858,38485.98315
厄立特里亚,ERI,,,1110.990526,1268.41711,1544.372512,1586.092241,1718.365625,1827.888351,1824.01317,1781.147653,1679.147143,1771.687338,1765.60398,1661.879354,1633.415639,1628.869863,1574.352158,1563.488302,1384.103605,1411.841397,1416.365802,1510.458929,,,,,
西班牙,ESP,23758.7281,24301.69219,24407.67554,24030.97766,24486.82293,25051.23368,25614.3895,26448.37866,27473.30696,28589.30859,29967.13145,30950.57323,31395.27602,31815.42134,32261.44449,32901.98773,33700.85211,34329.647,34163.94639,32652.51218,32507.09397,32068.27093,31109.18746,30678.9173,31195.40524,32357.47404,33356.22339
爱沙尼亚,EST,,,,,,11361.84624,12144.59509,13733.28481,14436.72895,14270.99834,15703.02747,16803.51868,17937.83198,19389.44231,20733.53808,22807.18275,25298.64605,27383.46956,25968.97281,22187.9264,22740.972,24543.06747,25691.99964,26282.90884,27113.12011,27610.24195,28565.27291
埃塞俄比亚,ETH,651.9530906,584.3418124,514.7901554,561.936987,560.0059351,574.8370983,626.1078844,626.4422652,587.2724942,599.9521059,618.2422187,650.4534964,641.5270259,609.9424178,673.4260045,732.3804985,789.8703702,856.99484,924.518762,979.6225122,1073.826295,1162.783317,1230.575484,1325.755137,1424.526984,1533.107632,1608.293476
欧洲联盟,EUU,24863.11344,25066.1987,25222.70013,25117.00279,25769.25923,26440.25952,26943.13904,27669.66421,28444.68548,29222.64702,30308.03761,30945.82199,31319.55455,31663.12479,32393.42516,32986.29266,34018.41559,34990.28921,35101.7289,33494.20533,34135.19928,34760.82356,34551.53665,34547.94237,35075.11186,35815.00893,36467.39575
脆弱和受衝突影響的情況下,FCS,2812.982802,2145.913741,2238.35302,2337.236599,2349.795126,2373.031577,2485.536375,2636.183108,2914.027891,3074.471503,3069.839441,3088.157664,2998.277596,2762.323348,3107.310499,3239.73706,3388.406271,3484.910262,3592.639497,3676.190476,3827.207383,3562.30568,3908.324201,3981.853887,3933.878143,3926.033749,4034.883006
芬兰,FIN,28905.57032,27047.8399,26002.07995,25686.51002,26583.53333,27596.41289,28512.4344,30205.02044,31760.2768,33094.83843,34887.1788,35706.15333,36218.24016,36852.44392,38188.25109,39115.76479,40546.08073,42467.261,42574.64114,38867.79945,39848.1345,40683.52758,39912.94136,39428.31206,39017.53721,39083.93476,40052.02862
斐济,FJI,5891.290081,5678.875631,5951.983191,5994.266403,6212.418935,6287.005516,6513.375984,6302.722022,6325.183922,6829.074678,6673.847391,6782.284404,6986.677956,7048.447941,7406.361842,7426.778763,7513.217106,7383.264069,7384.086057,7208.005111,7352.08836,7488.829381,7537.926213,7839.874778,8222.253784,8477.64473,8447.264179
法国,FRA,29482.08147,29764.77582,30090.9174,29777.26205,30362.42455,30883.73753,31201.72944,31818.26141,32828.5542,33772.86127,34842.15122,35265.52948,35401.56945,35439.61561,36159.88087,36465.31382,37071.97413,37713.37225,37576.4373,36284.02814,36814.92114,37440.64149,37376.54682,37398.94142,37575.81635,37835.80708,38126.36157
法罗群岛,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
密克罗尼西亚联邦,FSM,2721.056867,2850.138504,2887.963474,3047.310307,2970.348196,3136.437906,3016.744082,2829.629773,2920.371435,2972.370821,3119.115444,3181.519429,3206.050234,3273.576579,3178.199972,3255.204632,3266.699213,3221.063128,3167.71663,3220.976301,3297.656934,3412.906554,3343.876355,3208.682874,3130.05445,3271.267021,3278.344401
加蓬,GAB,19500.71994,20142.48211,19006.08947,19242.3443,19444.7934,19895.6245,20101.29705,20727.65792,20919.28798,18581.84257,17782.5078,17714.18638,17231.19017,17170.89597,16832.30177,16803.36552,15860.20731,16312.40201,15287.97991,14822.23046,15355.79019,15893.51531,16159.491,16502.79672,16678.51854,16836.60464,16758.00402
英国,GBR,26803.69302,26430.59671,26457.79396,27061.40622,28039.92241,28656.52357,29309.2894,30414.43696,31277.50625,32176.16123,33236.17173,33950.78905,34638.31026,35624.08187,36259.51341,37126.34934,37759.59835,38349.70016,37869.26297,36009.98042,36508.78017,36820.32172,37094.31263,37600.79928,38418.58645,39009.73489,39425.19588
格鲁吉亚,GEO,7984.410266,6255.538316,3420.208873,2399.57444,2183.37297,2325.920271,2682.023258,3060.763125,3234.852286,3396.840299,3527.214454,3754.504975,3995.711809,4467.632907,4755.93672,5245.166246,5772.019714,6532.05492,6710.361264,6523.107041,6981.506307,7545.966304,8084.500417,8383.520138,8767.000652,9005.325336,9256.346169
加纳,GHA,1919.601511,1965.727718,1985.952862,2025.608251,2036.876143,2066.197615,2107.827044,2143.494406,2191.031352,2232.828444,2259.063142,2291.016296,2333.681984,2392.325987,2461.322274,2539.329254,2632.027828,2675.443544,2845.234552,2907.546933,3059.383626,3404.459566,3632.44568,3807.342653,3828.107998,3823.533941,3867.872502
直布罗陀,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
几内亚,GIN,1411.948932,1373.106689,1337.349382,1325.499315,1308.515265,1311.962161,1326.448791,1360.804882,1382.975383,1410.730562,1420.633263,1445.915445,1492.932159,1483.564859,1489.423997,1504.031204,1490.720866,1558.541563,1587.415302,1534.971631,1573.544969,1625.560285,1684.153853,1711.709007,1734.73676,1758.315608,1894.441313
冈比亚,GMB,1506.404687,1499.742164,1502.582414,1503.878969,1464.840365,1437.018694,1428.138718,1456.33983,1464.758279,1513.555465,1549.585721,1589.585991,1490.01167,1541.994706,1598.325762,1533.249642,1501.800772,1507.698583,1544.52974,1593.016555,1644.242366,1524.768774,1560.330276,1584.753591,1521.945219,1562.584737,1522.042666
几内亚比绍共和国,GNB,1573.87189,1614.466679,1592.840762,1587.792282,1601.854753,1637.656386,1793.032334,1876.126545,1326.240169,1316.926217,1363.340995,1366.492649,1325.822659,1305.426386,1312.522899,1338.295521,1338.349987,1350.202744,1360.632824,1372.54239,1400.363293,1475.38909,1412.954212,1421.34057,1398.254807,1446.489402,1498.839838
